Company,Symbol,MarketCap,StockPrice,PE_Ratio,EPS
 Twenty-First Century Fox ,FOX,17.31,28.64,12.19,1.62
 Teleflex ,TFX,17.2,369.83,27.46,10.16
 Dish Network ,DISH,17.2,32.74,13.59,2.23
 Carmax ,KMX,17.13,105.01,20.08,3.79
 CDW ,CDW,17.07,114.18,17.95,5.11
 Discover Financial ,DFS,16.93,57.05,10.19,3.24
 Ventas ,VTR,16.91,45.33,64.76,1.09
 ConAgra Foods ,CAG,16.89,34.57,13.4,1.72
 CBRE Group ,CBRE,16.64,49.63,16.22,3.38
 Arista Networks ,ANET,16.54,206.38,21.36,9.4
 Dover ,DOV,16.41,113.98,19.22,4.61
 Paycom Software ,PAYC,16.39,280.09,67.65,3.02
 Northern Trust ,NTRS,16.39,78.76,13.35,6.43
 International Paper ,IP,16.38,41.66,16.47,1.61
 Tractor Supply ,TSCO,16.37,140.88,22.4,5.82
 Expeditors ,EXPD,16.04,93.30,24.55,3.52
 FirstEnergy ,FE,15.91,29.35,11.16,1.23
 Hologic ,HOLX,15.77,60.89,14.36,1.87
 Varian Medical ,VAR,15.75,173.17,34.09,2.88
 Broadridge Financial ,BR,15.62,135.63,22.64,3.95
 NVR ,NVR,15.58,4020.99,15.98,208.46
 Fifth Third Bancorp ,FITB,15.58,21.87,11.51,1.95
 Pioneer Natural Resources ,PXD,15.55,94.63,19.76,2.54
 Healthpeak Properties ,PEAK,15.5,28.79,0,0
 Synchrony Financial ,SYF,15.46,26.49,9.63,3.36
 Masco ,MAS,15.4,59.15,20.05,4.81
 Quest Diagnostics ,DGX,15.26,113.59,12.52,5.51
 Baker Hughes ,BKR,15.21,14.71,0,0
 Xylem ,XYL,15.19,84.41,32.1,1.39
 Ingersoll-Rand ,IR,15.15,36.33,22.43,-0.54
 Genuine Parts ,GPC,15.06,101.84,18.58,-1.32
 Zebra ,ZBRA,15.01,257.46,18.74,9.1
 FMC ,FMC,14.86,111.80,15.29,3.65
 Qorvo ,QRVO,14.85,129.99,16.43,3.31
 Royal Caribbean Cruises ,RCL,14.53,67.69,-6.94,-9.21
 STERIS ,STE,14.43,169.64,26.3,4.8
 Extra Space Storage ,EXR,14.35,111.15,35.29,3.32
 Nucor ,NUE,14.13,46.79,16.59,1.67
 Essex Property Trust ,ESS,14.11,216.39,52.27,9.52
 IDEX ,IEX,14.06,186.21,34.48,4.91
 CH Robinson Worldwide ,CHRW,14.03,104.06,25.2,3.44
 J. B. Hunt ,JBHT,14.03,132.98,22.42,4.57
 Duke Realty ,DRE,14.02,37.82,65.21,1.01
 Tiffany and Co ,TIF,13.84,114.05,27.03,2.03
 Expedia ,EXPE,13.76,97.40,62.84,-10.94
 Campbell Soup ,CPB,13.76,45.52,15.28,5.36
 Boston Properties ,BXP,13.66,87.77,37.51,6.53
 Cardinal Health ,CAH,13.61,46.55,7.85,-12.61
 Martin Marietta Materials ,MLM,13.58,218.10,21.64,9.95
 Mid-America ,MAA,13.56,118.57,55.93,2.94
 Hartford Financial ,HIG,13.43,37.48,7.06,4.97
 Ulta Salon Cosmetics n Fragrance ,ULTA,13.37,237.32,21.99,4.95
 M&T Bank ,MTB,13.31,103.76,10.67,10.78
 Internationa Flavors and Fragrances ,IFF,13.29,124.24,19.88,3.73
 Carnival ,CCL,13.28,15.93,-4.99,-4.25
 PerkinElmer ,PKI,13.25,118.51,20.61,2.63
 Alliant Energy ,LNT,13.17,52.76,20.45,2.62
 Celanese ,CE,13.05,110.33,12.16,5.24
 Hess Corp. ,HES,13.01,42.85,-20.7,-10.5
 SVB Financial ,SIVB,12.85,248.23,16.42,17.18
 JM Smucker ,SJM,12.82,112.40,13.15,7.56
 Live Nation Entertainment ,LYV,12.79,58.85,-35.24,-3.77
 Waters Corp. ,WAT,12.73,205.61,22.35,8.07
 United Rentals ,URI,12.73,176.56,10.71,14.9
 Westinghouse Air Brake ,WAB,12.72,66.82,15.22,2.22
 Halliburton ,HAL,12.69,14.44,28.88,-4.62
 Jack Henry and Associates ,JKHY,12.65,159.79,36.4,3.86
 Leidos ,LDOS,12.62,88.74,14.04,4.23
 ABIOMED ,ABMD,12.58,279.16,52.77,3.47
 NortonLifeLock ,NLOK,12.55,21.23,0,0
 Cincinnati Financial ,CINF,12.39,75.98,20.21,3.42
 Jacobs Engineering ,J,12.35,94.87,0,0
 KeyCorp ,KEY,12.23,12.53,10.02,1.12
 Gartner ,IT,12.19,134.19,38.45,2.65
 Darden Restaurants ,DRI,12.15,93.38,16.59,-0.43
 Seagate ,STX,12.14,47.34,9,3.79
 Pulte Homes ,PHM,12.08,45.05,9.39,4.24
 CenturyLink ,CTL,12.06,10.99,8.14,1.12
 Hewlett Packard ,HPE,11.94,9.28,6.31,0
 Evergy ,EVRG,11.88,52.37,16.16,2.76
 AES Corp ,AES,11.83,17.79,11.55,0.28
 MGM Resorts International ,MGM,11.71,23.74,-26.09,3.88
 ONEOK ,OKE,11.68,26.29,9.92,1.49
 ETRADE Financial ,ETFC,11.64,52.18,19.4,3.46
 Fortune Brands Home and Security ,FBHS,11.62,84.08,19.88,3.1
 Omnicom ,OMC,11.54,53.71,10.04,4.31
 Regions Financial ,RF,11.5,11.98,9.9,0.67
 Western Digital ,WDC,11.43,37.78,5.99,-0.84
 Discovery Communications ,DISCA,11.41,23.82,7.17,1.71
 Citizens Financial ,CFG,11.41,26.69,10.85,2.52
 Discovery Communications ,DISCK,11.41,21.62,6.47,1.71
 Atmos Energy ,ATO,11.39,92.35,18.4,4.87
 WR Berkley ,WRB,11.28,63.34,20.3,1.82
 Whirlpool ,WHR,11.11,178.37,11.4,13.13
 Principal Financial ,PFG,10.97,39.95,6.64,4.55
 DaVita ,DVA,10.96,89.84,12.03,6.22
 Eastman Chemical ,EMN,10.85,80.15,11.6,4.22
 Advance Auto Parts ,AAP,10.85,156.88,17.02,6.49
 United Continental ,UAL,10.71,36.80,-61.33,-6.43
 Avery Dennison ,AVY,10.69,128.02,19.37,6.14
 Hasbro ,HAS,10.61,77.41,17.92,2.82
 Albemarle ,ALB,10.47,98.39,23.1,4.12
 CenterPoint Energy ,CNP,10.36,19.01,14.19,-1.58
 UDR ,UDR,10.27,34.80,1740,0.62
 Packaging of America ,PKG,10.2,107.53,19.66,5.4
 Raymond James Financial ,RJF,10.2,74.34,13.27,6.2
 Huntington Bancshares ,HBAN,10.17,10.00,10.53,0.79
 Dentsply Sirona ,XRAY,10.13,46.36,21.07,-0.22
 Franklin Resources ,BEN,10.1,20.39,7.72,2.05
 NetApp ,NTAP,10.08,45.38,11.32,3.49
 Universal Health ,UHS,10,117.70,11.24,8.45
 Occidental Petroleum ,OXY,9.96,10.71,-7.99,-14.45
 Loews ,L,9.93,35.39,12.2,-4.04
 Lamb Weston ,LW,9.77,67.25,22.8,2.49
 CBOE ,CBOE,9.73,89.49,18.41,4.55
 LKQ ,LKQ,9.69,31.85,12.74,1.82
 WestRock ,WRK,9.33,35.95,14.44,2.99
 Allegion ,ALLE,9.31,100.92,22.99,3.07
 Western Union Co ,WU,9.22,22.43,11.27,1.44
 Henry Schein ,HSIC,9.1,63.75,17.66,4.06
 Concho Resources ,CXO,9.09,46.19,14.53,-48.86
 News Corp ,NWSA,9,15.32,33.3,-2.16
 News Corp ,NWS,9,15.23,0,-2.16
 Textron ,TXT,8.91,39.07,15.32,1.64
 Globe Life ,GL,8.88,83.39,10.96,6.83
 Wynn Resorts ,WYNN,8.87,82.28,-191.35,-10.46
 IPG Photonics ,IPGP,8.85,166.21,36.05,2.38
 BorgWarner ,BWA,8.76,42.27,12.32,2.16
 Host Hotels ,HST,8.48,12.02,-22.68,0.13
 NiSource ,NI,8.47,22.11,16.5,-0.31
 Iron Mountain ,IRM,8.38,29.07,22.71,0.7
 Snap-On ,SNA,8.33,152.96,14.18,10.38
 Mylan ,MYL,8.25,15.95,3.41,0.52
 Everest Re ,RE,8.24,206.12,8.69,13.03
 AO Smith ,AOS,8.2,50.79,22.57,1.82
 Pinnacle West Capital ,PNW,8.11,72.02,14.35,5.31
 L Brands ,LB,8.06,28.99,13.8,-2.86
 Howmet Aerospace ,HWM,7.94,18.21,0,0
 ViacomCBS ,VIAC,7.7,12.21,0,7.71
 Juniper Networks ,JNPR,7.66,23.10,12.76,1.02
 Newell Brands ,NWL,7.5,17.68,12.63,-2.44
 Pentair ,PNR,7.48,45.11,18.26,1.98
 Molson Coors Brewing ,TAP,7.48,34.29,8.86,-0.75
 NRG Energy ,NRG,7.47,30.60,7.27,16.72
 Cabot Oil and Gas ,COG,7.45,18.68,10.86,0.79
 F5 Networks ,FFIV,7.43,121.49,12.46,5.33
 Quanta ,PWR,7.18,51.99,12.9,2.51
 Assurant ,AIZ,7.11,117.26,11.07,6.32
 CF Industries ,CF,7.05,32.97,20.35,1.74
 Interpublic of Companies ,IPG,7.04,18.05,10.37,1.16
 Mohawk Industries ,MHK,7.03,98.79,12.17,49.9
 Regency Centers ,REG,6.99,41.21,34.63,0.54
 Vornado Realty Trust ,VNO,6.9,36.12,42,1.69
 Mosaic ,MOS,6.84,18.03,18.03,-2.95
 Perrigo ,PRGO,6.81,49.92,11.56,1.75
 American Airlines ,AAL,6.68,13.14,-4.73,-8.02
 Gap ,GPS,6.56,16.87,15.34,-2.78
 Lincoln National ,LNC,6.49,33.59,3.46,1.11
 Robert Half ,RHI,6.19,53.97,18.23,3.2
 Federal Realty Investment Trust ,FRT,6.14,81.16,36.07,3.57
 Sealed Air ,SEE,6.01,38.61,12.54,2.56
 Polo Ralph Lauren ,RL,5.89,80.62,13.83,1.84
 Huntington Ingalls Industries ,HII,5.88,145.27,12.9,12.91
 Leggett and Platt ,LEG,5.84,44.11,17.5,1.67
 Comerica ,CMA,5.64,40.59,11.94,4.2
 Kimco Realty ,KIM,5.61,12.97,25.94,2.27
 Nielsen ,NLSN,5.49,15.38,9.1,-1.77
 Hanesbrands ,HBI,5.47,15.71,9.7,1.45
 Apartment Investment and Management ,AIV,5.44,36.57,-332.45,1.22
