year,month,day,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19,hr20,hr21,hr22,hr23
2018,6,9,10,8,10,11,10,13,15,14,16,30,36,37,38,38,38,36,34,35,34,34,33,29,28,23
2018,6,10,22,20,19,17,17,16,18,25,31,35,37,35,35,36,36,37,37,35,34,32,32,28,24,22
2018,6,11,20,20,20,20,19,20,22,24,29,30,31,32,33,32,30,26,24,24,22,18,17,14,11,15
2018,6,12,22,20,25,28,29,30,34,38,42,40,39,31,31,34,32,30,28,28,28,31,31,29,23,16
2018,6,13,12,8,11,6,6,7,9,20,26,29,31,31,31,30,26,21,19,19,19,18,15,10,7,5
2018,6,14,5,12,16,16,19,13,13,19,23,25,27,27,26,26,26,27,26,27,27,26,23,18,18,20
2018,6,15,22,21,20,17,16,15,14,17,22,25,27,28,27,27,27,26,26,27,27,27,29,28,25,29
2018,6,16,31,30,29,26,28,27,25,27,27,29,30,33,36,37,32,33,31,27,26,26,25,24,23,20
2018,6,17,18,18,24,24,20,19,19,25,28,29,31,33,33,32,32,32,31,31,30,29,26,23,22,18
2018,6,18,15,13,12,11,12,10,11,19,27,30,32,32,31,33,35,36,37,37,35,33,30,21,17,16
2018,6,19,18,23,20,24,10,11,12,20,24,27,32,33,33,30,30,29,29,26,25,24,23,19,16,15
2018,6,20,13,10,12,14,18,14,14,14,18,24,30,34,33,30,30,28,27,26,26,24,20,16,11,10
2018,6,21,6,7,6,4,10,6,9,13,18,20,25,29,29,28,27,26,26,27,27,26,23,19,16,13
2018,6,22,16,15,11,10,20,17,12,18,23,28,31,33,30,29,28,28,26,26,25,23,23,20,17,13
2018,6,23,10,9,14,11,8,13,28,31,36,41,32,33,32,30,30,27,27,27,27,28,29,25,24,22
2018,6,24,16,14,15,18,19,15,15,16,22,24,28,32,37,37,34,36,38,39,35,33,32,32,32,32
2018,6,25,29,29,27,27,25,24,25,33,32,30,31,31,31,30,29,28,27,28,27,27,26,24,18,14
2018,6,26,9,10,7,6,3,3,6,14,23,30,33,33,33,34,33,29,27,27,27,27,27,23,24,23
2018,6,27,22,22,19,17,15,12,13,17,25,28,29,31,30,30,30,31,32,30,29,29,28,26,25,28
2018,6,28,26,21,18,13,10,9,12,22,30,32,32,33,33,34,35,36,35,34,34,34,32,26,22,20
2018,6,29,17,17,14,13,12,17,20,20,23,27,31,31,31,32,36,33,29,28,28,28,27,24,20,19
2018,6,30,14,10,8,7,6,11,14,19,24,29,33,37,34,35,37,39,36,36,35,32,28,25,22,16
2018,7,1,15,12,12,13,15,14,14,16,18,23,29,33,35,35,34,35,34,32,31,30,30,27,26,25
2018,7,2,25,24,22,21,19,17,17,16,17,19,26,30,32,33,33,30,30,29,28,28,26,25,24,23
2018,7,3,23,21,19,17,17,15,14,15,20,21,23,25,29,33,29,31,32,31,30,27,25,25,24,25
2018,7,4,24,23,21,21,22,21,19,20,21,22,24,29,29,29,29,29,32,33,31,29,26,24,16,14
2018,7,5,12,8,5,3,4,5,8,15,19,21,26,33,35,38,36,31,32,32,27,24,23,23,22,20
2018,7,6,18,18,21,23,21,20,17,27,38,46,49,52,49,33,34,29,28,24,21,18,17,16,15,14
2018,7,7,9,8,12,17,16,23,23,21,28,28,27,26,32,31,31,35,35,36,33,25,22,22,19,16
2018,7,8,15,12,12,11,9,13,22,28,29,29,29,33,32,29,29,32,37,37,35,30,24,23,18,18
2018,7,9,19,23,25,27,27,29,31,34,39,45,46,49,46,38,36,40,39,41,38,33,29,21,19,20
2018,7,10,20,14,17,14,10,12,12,17,23,25,29,30,29,34,34,26,26,24,23,19,20,19,18,15
2018,7,11,10,8,9,13,11,10,12,15,17,19,20,20,22,23,23,24,24,24,24,23,21,21,19,18
2018,7,12,17,16,15,14,12,10,9,11,13,17,22,28,30,32,32,29,27,26,24,23,21,20,18,17
2018,7,13,17,16,16,15,12,10,12,15,19,23,28,30,28,26,23,24,21,20,20,19,17,15,13,14
2018,7,14,14,13,14,13,11,11,12,15,15,17,19,21,21,20,20,18,17,17,17,16,16,15,15,14
2018,7,15,14,15,14,14,14,11,8,8,13,15,18,21,22,25,25,25,24,25,24,23,21,17,12,9
2018,7,16,13,15,19,23,20,16,14,14,17,22,26,28,28,28,29,30,30,27,26,25,24,21,17,16
2018,7,17,12,8,9,10,8,10,13,21,21,22,26,29,28,27,29,29,30,28,26,23,20,18,14,10
2018,7,18,7,11,8,7,5,4,6,14,18,21,25,27,27,29,28,27,26,24,24,22,21,20,18,17
2018,7,19,16,14,12,10,9,9,7,8,10,17,23,27,27,26,24,24,26,26,26,24,22,20,19,18
2018,7,20,14,13,10,5,3,2,5,8,13,21,29,33,34,31,30,27,26,25,25,24,23,20,18,17
2018,7,21,16,12,12,14,13,11,11,11,12,18,23,27,27,24,22,24,20,16,14,14,14,14,12,10
2018,7,22,10,10,9,7,5,4,4,7,10,14,17,18,19,24,27,25,25,24,21,20,18,15,13,11
2018,7,23,10,7,5,5,7,7,5,11,18,23,28,32,33,29,30,27,24,24,24,24,24,20,20,20
2018,7,24,18,13,9,13,14,21,24,21,24,29,29,35,37,32,31,32,34,30,27,25,25,22,18,16
2018,7,25,16,11,22,9,9,15,16,17,19,26,34,39,39,31,34,41,33,31,28,-9,21,17,16,14
2018,7,26,11,14,14,15,13,10,8,13,19,23,24,26,27,28,27,25,23,22,22,21,19,15,17,16
2018,7,27,16,18,15,10,10,6,9,12,13,19,22,24,23,22,22,23,21,19,18,17,17,17,15,12
2018,7,28,7,5,11,9,8,6,6,5,12,15,17,20,22,22,25,25,21,21,20,18,16,14,11,11
2018,7,29,12,11,8,5,6,10,7,9,12,15,19,20,22,22,21,21,22,22,20,19,18,15,12,10
2018,7,30,7,6,9,9,10,13,10,7,10,16,22,25,23,22,23,23,22,22,23,22,21,16,16,15
2018,7,31,13,11,9,4,2,2,5,11,13,15,19,23,24,26,25,27,29,27,25,24,22,14,11,16
2018,8,1,18,16,13,12,8,8,7,12,16,19,21,24,24,23,21,20,19,19,20,19,18,15,15,14
2018,8,2,10,10,11,8,5,3,4,6,12,15,18,22,22,21,20,21,22,20,20,19,17,13,10,6
2018,8,3,8,12,9,7,7,5,5,11,14,16,19,19,19,20,18,19,21,21,18,15,12,15,31,29
2018,8,4,9,16,32,31,28,25,27,26,27,25,22,23,27,26,27,24,24,23,21,19,14,12,10,9
2018,8,5,8,10,9,5,7,7,9,10,13,15,19,24,27,26,27,27,28,27,23,20,17,14,15,10
2018,8,6,11,9,9,15,18,19,19,20,23,30,33,35,38,39,33,31,31,30,28,22,21,20,20,21
2018,8,7,21,20,13,9,8,8,5,10,16,19,20,22,24,27,29,28,28,27,23,21,18,14,10,6
2018,8,8,6,10,8,6,9,8,6,13,14,24,23,25,29,28,27,26,26,26,21,19,17,13,11,16
2018,8,9,18,11,5,4,2,3,14,36,39,48,41,36,30,31,35,40,35,36,30,22,18,14,13,31
2018,8,10,21,7,32,40,48,15,6,11,18,-9,-9,29,24,23,22,21,19,18,16,18,12,9,6,3
2018,8,11,2,1,0,0,0,0,5,6,16,19,22,24,26,25,28,28,25,19,17,19,13,39,7,8
2018,8,12,13,13,14,20,12,8,5,11,17,18,19,20,21,22,23,19,17,16,14,16,12,8,5,4
2018,8,13,4,4,3,2,1,1,1,12,15,17,19,22,25,27,-9,24,23,22,21,20,19,19,18,18
2018,8,14,17,16,14,10,9,11,12,14,19,25,28,30,31,31,31,31,31,30,29,28,25,16,13,11
2018,8,15,9,6,7,7,9,12,16,19,22,27,31,33,34,34,35,33,33,33,33,34,31,22,20,16
2018,8,16,11,9,10,10,10,6,5,13,24,33,38,40,41,42,41,42,43,44,44,43,40,35,30,24
2018,8,17,24,19,14,19,24,17,15,16,22,29,36,36,36,36,39,36,35,36,33,33,30,27,18,14
2018,8,18,14,11,11,13,14,10,8,7,12,18,26,31,32,35,40,42,39,35,31,29,24,19,14,8
2018,8,19,11,20,10,4,9,3,8,11,21,27,29,31,33,33,34,34,33,33,34,34,32,29,23,17
2018,8,20,10,10,12,14,15,18,19,17,22,28,30,31,31,32,34,35,35,34,33,31,30,31,31,30
2018,8,21,30,30,30,31,32,33,32,29,29,34,36,37,38,38,37,36,36,36,35,35,33,32,32,32
2018,8,22,31,30,27,25,30,27,28,29,34,40,41,43,44,41,40,39,39,40,39,36,34,38,35,36
2018,8,23,36,37,35,35,32,30,24,27,30,36,44,46,-9,47,48,48,49,51,51,49,40,36,34,30
2018,8,24,29,28,34,37,37,37,37,40,41,45,51,50,50,50,46,43,40,36,29,27,20,18,16,18
2018,8,25,16,12,7,8,11,11,12,17,23,28,31,31,28,27,26,26,26,26,25,24,26,25,23,21
2018,8,26,19,16,16,16,15,16,15,16,23,24,31,35,34,33,33,32,32,32,30,29,25,25,22,24
2018,8,27,25,24,24,23,21,19,17,18,20,24,26,27,27,27,27,25,22,22,19,20,22,22,20,19
2018,8,28,17,17,17,16,15,14,14,14,16,19,20,21,21,21,21,23,25,25,25,22,18,17,16,15
2018,8,29,14,13,12,11,10,10,10,13,24,35,37,37,38,-9,-9,-9,37,36,34,32,26,21,17,13
2018,8,30,14,15,16,16,15,14,13,17,29,33,34,38,39,40,39,38,37,37,36,36,31,27,24,20
2018,8,31,17,14,11,11,12,16,23,26,26,28,31,35,37,32,31,26,24,21,18,16,17,14,11,9
2018,9,1,9,10,11,10,9,9,8,10,18,22,22,23,25,25,23,23,24,23,20,18,14,10,6,6
2018,9,2,8,4,2,2,2,1,4,-9,-9,15,21,25,25,26,25,27,28,28,27,25,24,24,22,23
2018,9,3,21,20,19,17,15,14,11,13,15,22,25,28,30,33,35,35,34,33,32,29,25,27,25,24
